Vial,Treatment_abreave,sex,Replicate,Number_of_flies_per_vial,day_1 (9/16),day_2 (9/17),day_3 (9/18),day_4 (9/19),day_5 (9/20),day_6 (9/21),day_7 (9/22),day_8 (9/23),day_9 (9/24),day_10 (9/25),day_11 (9/26)
1,M,M,1,11,11,11,11,11,11,9,6,3,1,0,0
2,M,F,1,5,5,5,5,4,3,2,2,0,0,0,0
3,D,M,1,4,4,4,4,4,4,2,2,NA,NA,NA,NA
4,D,F,1,5,5,5,5,5,4,2,2,NA,NA,NA,NA
5,D,F,2,4,4,3,3,3,3,3,3,NA,NA,NA,NA
6,D,M,2,6,6,6,6,6,5,5,5,NA,NA,NA,NA
7,D,M,3,10,10,10,10,10,10,10,9,NA,NA,NA,NA
8,D,F,3,4,4,4,4,3,2,1,0,NA,NA,NA,NA
9,M,M,2,10,10,10,10,10,8,7,4,NA,NA,NA,NA
10,M,F,2,4,4,4,4,4,0,0,0,NA,NA,NA,NA
11,D,M,4,9,9,9,9,9,9,9,8,5,3,3,0
12,D,F,4,5,5,4,4,4,4,2,2,1,1,1,0
13,D,M,5,9,9,8,8,8,8,7,6,4,2,1,0
14,D,F,5,7,6,6,5,5,5,5,2,2,1,1,0
15,D,M,6,12,11,11,11,11,10,10,5,1,0,0,0
16,D,F,6,7,7,6,6,5,5,4,3,2,0,0,0
