tube_number,day_extracted ,PCR_results_COI,PCR_results_p47,treatment_abrev,alive_when_frozen,,,,,,
1,20221006,yes,no,M,yes,,,,,,
2,20221006,yes,no,M,yes,,,,,,
3,20220929,yes,no,D,yes,,,,,,
4,20221006,yes,no,D,yes,,,,,,
5,20221020,yes,no,D,yes,,,,,,
6,20221020,yes,no,D,yes,,,,,,
7,20221006,yes,no,D,yes,,,,,,
8,20220929,yes,no,D,yes,,,,,,
9,20220929,yes,no,D,no,,,,,,
10,20220929,yes,no,D,no,,,,,,
11,20220929,yes,no,D,no,,,,,,
12,20221020,yes,no,D,no,,,,,,
13,20220929,yes,no,D,no,,,,,,
14,20221020,yes,no,D,no,,,,,,
15,20221006,yes,no,D,no,,,,,,
16,20221006,yes,no,M,no,,,,,,
17,20221006,yes,no,M,no,,,,,,
18,20220929,yes,no,M,no,,,,,,
19,20221020,yes,no,M,no,,,,,,
20,20221020,yes,no,M,no,,,,,,
21,20221006,yes,no,D,no,,,,,,
22,20221006,yes,no,D,no,,,,,,
23,20221020,yes,no,D,no,,,,,,
24,20221020,yes,yes,D,no,,,,,,
25,20221006,yes,no,D,no,,,,,,
26,20221006,yes,no,D,no,,,,,,
27,20221006,yes,no,D,no,,,,,,
28,20220929,yes,no,D,no,,,,,,
29,20221006,yes,no,D,no,,,,,,
30,20220929,yes,no,M,no,,,,,,
31,20221006,yes,no,M,no,,,,,,
32,20221006,yes,no,M,no,,,,,,
33,20221006,yes,no,M,no,,,,,,
34,20220929,yes,no,M,no,,,,,,
35,20220929,yes,no,M,no,,,,,,
36,20221006,yes,no,M,no,,,,,,
37,20220929,yes,no,D,no,,,,,,
38,20220929,yes,yes,D,no,,,,,,
39,20220929,yes,no,D,no,,,,,,
40,20220929,yes,yes,D,no,,,,,,
41,20221006,yes,no,D,no,,,,,,
42,20220929,yes,no,D,no,,,,,,
43,20221020,yes,no,D,no,,,,,,
44,20221006,yes,no,D,yes,,,,,,
45,20221020,yes,no,D,yes,,,,,,
46,20221020,yes,no,D,yes,,,,,,
47,20220929,yes,no,D,yes,,,,,,
48,20221006,yes,no,D,yes,,,,,,
49,20221006,yes,no,D,yes,,,,,,
50,20220929,yes,no,D,yes,,,,,,
51,20220929,yes,yes,D,yes,,,,,,
52,20221006,yes,no,D,yes,,,,,,
53,20221006,yes,no,D,yes,,,,,,
54,20221006,yes,no,D,yes,,,,,,
55,20221006,yes,no,D,yes,,,,,,
56,20220929,yes,no,D,yes,,,,,,
57,20220929,yes,no,D,no,,,,,,
58,20221006,yes,yes,D,yes,,,,,,
59,20220929,yes,yes,D,yes,,,,,,
60,20221020,yes,yes,D,yes,,,,,,
61,20220929,yes,no,D,yes,,,,,,
62,20220929,yes,no,D,yes,,,,,,1.ND
63,20220929,yes,no,D,yes,,,,,,
64,20220929,yes,no,D,yes,,,,,,
65,20220929,yes,no,D,yes,,,,,,
66,20221006,yes,no,D,yes,,,,,,
67,20221006,yes,no,D,no,,,,,,
68,20220929,yes,no,M,no,,,,,,
69,20221020,yes,no,M,no,,,,,,
70,20221006,yes,no,M,no,,,,,,
71,20221006,yes,no,M,yes,,,,,,
72,20221020,yes,no,M,yes,,,,,,
73,20221020,yes,no,M,yes,,,,,,
74,20221006,yes,no,M,yes,,,,,,
75,20220929,yes,no,M,no,,,,,,
76,20221006,yes,no,M,no,,,,,,
77,20220929,yes,no,M,no,,,,,,
78,20221020,yes,no,M,no,,,,,,
79,20220929,yes,no,M,no,,,,,,
80,20221020,yes,no,M,no,,,,,,
81,20220929,yes,no,M,no,,,,,,
82,20221020,yes,no,M,no,,,,,,
83,20220929,yes,no,D,no,,,,,,
84,20221020,yes,maybe,D,no,,,,,,
85,20221020,yes,maybe,D,no,,,,,,
86,20221006,yes,yes,D,no,,,,,,
87,20220929,yes,no,D,no,,,,,,
88,20221006,yes,yes,D,no,,,,,,
89,20220929,yes,no,D,no,,,,,,
90,20220929,yes,no,D,no,,,,,,
91,20221006,yes,no,D,no,,,,,,
92,20220929,yes,no,D,no,,,,,,
93,20220929,yes,no,D,no,,,,,,
94,20221006,yes,no,D,no,,,,,,
95,20221020,yes,no,D,no,,,,,,
96,20221006,yes,no,D,no,,,,,,
97,20220929,yes,no,D,no,,,,,,
98,20220929,yes,no,D,no,,,,,,
99,20220929,yes,no,D,no,,,,,,
100,20220929,yes,maybe,D,no,,,,,,
101,20221006,yes,no,D,no,,,,,,
102,20220929,yes,no,D,no,,,,,,
103,20221006,yes,no,D,no,,,,,,
104,20221006,yes,no,D,no,,,,,,
105,20221020,yes,no,D,no,,,,,,
106,20220929,yes,no,D,no,,,,,,
107,20221006,yes,no,D,no,,,,,,
108,20221006,yes,no,D,no,,,,,,
109,20221020,yes,no,D,no,,,,,,
110,20221006,yes,no,D,no,,,,,,
111,20221006,yes,no,D,no,,,,,,
112,20220929,yes,no,D,no,,,,,,
113,20221006,yes,no,M,no,,,,,,
114,20220929,yes,no,D,no,,,,,,
115,20221006,yes,yes,D,no,,,,,,
116,20221020,yes,no,D,no,,,,,,
117,20220929,yes,no,D,no,,,,,,
118,20221006,yes,no,D,no,,,,,,
119,20220929,yes,no,D,no,,,,,,
120,20221006,yes,no,D,no,,,,,,
