Vial,line,Treatment,Replicate,Day_emerged,Day_Infected,time_infected,fly_age,OD600,Number_of_flies_per_vial,Day 1 (10/8),Day 2 (10/9),Day 3 (10/10),Day 4 (10/11),Day 5 (10/12),Day 6 (10/13),Day 7 (10/14),Notes
1,W1118,P. rettgeri,1,9/27-9/29,20221007,3:58 PM,8-10,1,10,10,9,9,9,8,8,8,
2,dpt null,LB,1,10/1-10/3,20221007,4:06 PM,4-6,NA,10,10,10,10,10,10,10,10,
3,IMD null,P. rettgeri,1,10/3-10/4,20221007,4:12 PM,3-4,1,7,5,1,1,1,1,1,1,
4,W1118,LB,1,9/27-9/29,20221007,4:17 PM,8-10,NA,10,10,10,10,10,10,10,10,
5,W1118,P. rettgeri,2,9/27-9/29,20221007,4:25 PM,8-10,1,10,10,9,8,8,8,8,8,
6,c564,LB,1,9/28-10/3,20221007,4:30 PM,4-8,NA,10,9,9,9,9,9,9,9,
7,dpt null,P. rettgeri,1,10/1-10/3,20221007,4:36 PM,4-6,1,10,8,1,1,1,1,1,1,
8,IMD null,P. rettgeri,2,10/3-10/4,20221007,4:42 PM,3-4,1,10,10,0,0,0,0,0,0,
9,dpt null,P. rettgeri,2,10/1-10/3,20221007,4:48 PM,4-6,1,10,10,1,1,1,1,1,1,
10,c564,P. rettgeri,1,9/28-10/3,20221007,4:53 PM,4-8,1,10,10,8,8,8,8,8,8,
11,c564,P. rettgeri,2,9/28-10/3,20221007,4:58 PM,4-8,1,10,10,9,9,9,9,9,9,
12,W1118,P. rettgeri,2,9/27-9/29,20221007,5:03 PM,8-10,1,10,9,9,8,8,8,8,8,
13,IMD null,LB,1,10/3-10/4,20221007,5:08 PM,3-4,NA,8,8,8,8,8,8,8,8,
