Vial,Species,Treatment,Treatment_abreave,sex,Replicate,Day_emerged,Day_Infected,time_infected,fly_age,Original_N_number,Number_of_flies_per_vial,day_1 (5/10),day_2 (5/11),day_3 (5/12),day_4 (5/13),day_5 (5/14),day_6 (5/15),day_7 (5/16),day_8 (5/17),day_9 (5/18),day_10 (5/19),day_11 (5/20),day_12 (5/21),day_13 (5/22),day_14 (5/23),day_15 (5/24),day_16 (5/25),day_17 (5/26),day_18 (5/27),day_19 (5/28),day_20 (5/29),day_21 (5/30),notes,more notes
6,innubila,sterile poke,SP,male,1,5/3-5/4,20230509,2:22,5-6 days,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,7,8,lost 1 in transfer 5/29,
7,innubila,sterile poke,SP,male,2,5/3-5/4,20230509,2:29,5-6 days,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,lost 1 in transfer 5/29,
8,innubila,sterile poke,SP,male,3,5/3-5/4,20230509,2:36,5-6 days,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,lost 1 in transfer 5/15,lost 1 in transfer 5/18
9,innubila,sterile poke,SP,male,4,5/3-5/4,20230509,2:43,5-6 days,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"when freezing, could not find dead fly, changed starting number",lost 1 fly in transfer 5/24
10,innubila,sterile poke,SP,male,5,5/3-5/4,20230509,2:50,5-6 days,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,lost 1 fly during transfer 5/24,1 squished in transfer 5/29
11,innubila,sterile poke,SP,male,6,5/3-5/4,20230509,2:56,5-6 days,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,,
12,innubila,sterile poke,SP,male,7,5/3-5/4,20230509,3:03,5-6 days,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,7,6,6,6,lost 1 in transfer 5/29,
13,innubila,16 Cq DiNV,16DiNV,male,1,5/3-5/4,20230509,3:11,5-6 days,10,10,10,10,10,10,10,9,8,6,3,3,3,3,2,2,2,2,2,2,2,2,2,,
14,innubila,16 Cq DiNV,16DiNV,male,2,5/3-5/4,20230509,3:17,5-6 days,10,10,10,10,10,10,10,10,10,10,10,9,8,8,8,8,8,7,6,6,5,5,4,,
15,innubila,16 Cq DiNV,16DiNV,male,3,5/3-5/4,20230509,3:26,5-6 days,10,9,9,9,9,9,9,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,lost 1 in transfer 5/12,
16,innubila,16 Cq DiNV,16DiNV,male,4,5/3-5/4,20230509,3:31,5-6 days,10,10,10,8,7,7,7,7,6,5,4,4,4,5,4,4,4,4,4,4,4,4,4,,
17,innubila,16 Cq DiNV,16DiNV,male,5,5/3-5/4,20230509,3:38,5-6 days,10,9,9,8,8,7,7,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,lost 1 in freezing 5/30,
18,innubila,16 Cq DiNV,16DiNV,male,6,5/3-5/4,20230509,3:45,5-6 days,9,7,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,lost 1 in transfer 5/15,
19,innubila,16 Cq DiNV,16DiNV,male,7,5/3-5/4,20230509,3:50,5-6 days,10,10,10,10,10,10,10,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,,
20,innubila,16 Cq DiNV,16DiNV,male,8,5/3-5/4,20230509,3:58,5-6 days,10,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,lost 1 in transfer 5/12,lost 1 in transfer 5/15
,,,,,,,,,,148,134,,,,,,,,,,,,,,,,,,,,,,,
