vial,species,sex,combo,mated status,days_emerged,day_infected,age_infected,original_vial_from,tube,treatment,for,volume,time,time on CO2,original_N_number,adjusted_N_number,day 1 12/2,day 2 12/3,day 3 12/4,day 4 12/5,day 5 12/6,day 6 12/7,day 7 12/8,day 8 12/9,day 9 12/10,day 10 12/11,day 11 12/12,day 12 12/13,day 13 12/14,day 14 12/15,notes
1,D. innubila,male,male-CCM,yes,11/23-11/24,20231201,8-9 days,8,CCM,CCM,me,27.6nl,2:40,7 min,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
2,D. innubila,female,female-CCM,yes,11/23-11/24,20231201,8-9 days,8,CCM,CCM,me,27.6nl,2:54,6 min,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,
3,D. innubila,male,male-CCM,yes,11/23-11/24,20231201,8-9 days,7,CCM,CCM,me,27.6nl,3:00,4 min,10,8,8,8,8,7,5,5,5,5,5,5,5,5,5,5,1 lost in transfer 12/7
4,D. innubila,female,female-CCM,yes,11/23-11/24,20231201,8-9 days,7,CCM,CCM,me,27.6nl,3:04,6 min,10,10,10,10,9,8,8,8,7,7,7,7,6,6,6,6,
7,D. innubila,male,male-0.01,yes,11/23-11/24,20231201,8-9 days,8,5,0.01 FFU,me,27.6nl,3:26,8 min,9,8,8,8,8,8,8,8,8,7,7,5,5,5,5,5,
8,D. innubila,female,female-0.01,yes,11/23-11/24,20231201,8-9 days,8,5,0.01 FFU,me,27.6nl,3:34, 9 min,10,10,10,10,9,9,9,9,9,8,8,8,7,7,7,7,
9,D. innubila,male,male-0.1,yes,11/23-11/24,20231201,8-9 days,5,4,0.1 FFU,me,27.6nl,3:45,10 min ,10,6,6,6,6,5,5,5,5,1,0,0,0,0,0,0,
10,D. innubila,female,female-0.1,yes,11/23-11/24,20231201,8-9 days,4,4,0.1 FFU,me,27.6nl,3:51,10 min,10,10,10,10,10,10,10,9,4,1,0,0,0,0,0,0,
11,D. innubila,male,male-1,yes,11/23-11/24,20231201,8-9 days,1 and 2,3,1 FFU,me,27.6nl,4:05,8 min,10,8,8,8,8,8,7,5,3,2,1,1,0,0,0,0,
12,D. innubila,female,female-1,yes,11/23-11/24,20231201,8-9 days,1 and 2 and 7,3,1 FFU,me,27.6nl,4:10,10 min,10,10,10,10,10,10,10,8,6,3,0,0,0,0,0,0,
13,D. innubila,male,male-3,yes,11/23-11/24,20231201,8-9 days,9,2,3 FFU,me,27.6nl,4:25, 6 min,10,9,9,9,9,9,9,8,8,5,3,1,0,0,0,0,
14,D. innubila,female,female-3,yes,11/23-11/24,20231201,8-9 days,7 and 3,2,3 FFU,me,27.6nl,4:30, 10 min,9,9,9,9,9,8,8,8,3,0,0,0,0,0,0,0,
15,D. innubila,male,male-6,yes,11/23-11/24,20231201,8-9 days,6,1,6 FFU ,me,27.6nl,4:38,6 min,11,10,10,10,10,10,10,10,8,3,0,0,0,0,0,0,
16,D. innubila,female,female-6,yes,11/23-11/24,20231201,8-9 days,9,1,6 FFU ,me,27.6nl,4:44,6 min,10,10,10,10,10,10,10,9,8,1,0,0,0,0,0,0,
