plate_type,abvreviation,fly_age,type,replicate,yeast,plate_type,unique_abvreviation,experiment_day,egg_count_1,egg_count_2,egg_count_3,average_egg_count
Mushroom broth and apple juice plate with sugar and yeast fly age “2”,MASY2,two,experimental,1,Y,MAS,MASY2-1,4/7/2022,78,80,80,79.3
Mushroom broth plate with no sugar and yeast fly age “2”,MNSY2,two,experimental,1,Y,MNS,MNSY2-1,4/7/2022,52,52,51,51.7
Apple juice plate with sugar control fly age “2”,AJS2,two,control,1,N,AJS,AJS2-1,4/7/2022,33,33,33,33.0
Mushroom broth plate with no sugar fly age “2”,MNS2,two,experimental,1,N,MNS,MNS2-1,4/7/2022,57,58,56,57.0
Mushroom broth plate with no sugar and yeast fly age “2”,MNSY2,two,experimental,2,Y,MNS,MNSY2-2,4/8/2022,38,36,38,37.3
Mushroom broth plate with sugar and yeast fly age “2”,MSY2,two,experimental,1,Y,MS,MSY2-1,4/8/2022,38,36,36,36.7
Mushroom broth plate with no sugar and yeast fly age “2”,MNSY2,two,experimental,3,Y,MNS,MNSY2-3,4/8/2022,19,21,21,20.3
Mushroom broth and apple juice plate with sugar and yeast fly age “2”,MASY2,two,experimental,2,Y,MAS,MASY2-2,4/8/2022,53,54,56,54.3
Mushroom broth and apple juice plate with sugar and yeast fly age “2”,MASY2,two,experimental,3,Y,MAS,MASY2-3,4/15/2022,64,67,72,67.7
Mushroom broth plate with no sugar fly age “2”,MNS2,two,experimental,2,N,MNS,MNS2-2,4/15/2022,33,34,34,33.7
Apple juice plate with sugar control fly age “2”,AJS2,two,control,2,N,AJS,AJS2-2,4/15/2022,87,91,90,89.3
Apple juice plate with sugar and yeast control fly age “2”,AJSY2,two,control,1,Y,AJS,AJSY2-1,4/15/2022,48,43,43,44.7
Mushroom broth plate with sugar and yeast fly age “2”,MSY2,two,experimental,2,Y,MS,MSY2-2,5/5/2022,81,81,77,79.7
Mushroom broth plate with sugar and yeast fly age “2”,MSY2,two,experimental,3,Y,MS,MSY2-3,5/5/2022,94,90,91,91.7
Mushroom broth and apple juice plate with sugar fly age “2”,MAS2,two,experimental,1,N,MAS,MAS2-1,5/5/2022,132,133,134,133.0
Mushroom broth plate with sugar fly age “2”,MS2,two,experimental,1,N,MS,MS2-1,5/5/2022,62,59,63,61.3
Mushroom broth plate with sugar fly age “2”,MS2,two,experimental,2,N,MS,MS2-2,5/12/2022,31,36,35,34.0
Mushroom broth and apple juice plate with sugar fly age “2”,MAS2,two,experimental,2,N,MAS,MAS2-2,5/12/2022,94,98,95,95.7
Apple juice plate with sugar control fly age “2”,AJS2,two,control,3,N,AJS,AJS2-3,5/12/2022,57,55,60,57.3
Mushroom broth and apple juice plate with sugar fly age “2”,MAS2,two,experimental,3,N,MAS,MAS2-3,5/12/2022,74,71,70,71.7
Mushroom broth plate with no sugar fly age “2”,MNS2,two,experimental,3,N,MNS,MNS2-3,5/18/2022,43,43,41,42.3
Mushroom broth plate with sugar fly age “2”,MS2,two,experimental,3,N,MS,MS2-3,5/18/2022,31,31,28,30.0
Apple juice plate with sugar and yeast control fly age “2”,AJSY2,two,control,2,Y,AJS,AJSY2-2,5/18/2022,18,20,17,18.3
Apple juice plate with sugar and yeast control fly age “2”,AJSY2,two,control,3,Y,AJS,AJSY2-3,5/18/2022,34,30,31,31.7
Apple juice plate with sugar and yeast control fly age “3”,AJSY3,three,control,1,Y,AJS,AJSY3-1,3/31/2022,140,144,139,141.0
Mushroom broth plate with no sugar and yeast fly age “3”,MNSY3,three,experimental,1,Y,MNS,MNSY3-1,3/31/2022,66,66,68,66.7
Mushroom broth plate with no sugar fly age “3”,MNS3,three,experimental,1,N,MNS,MNS3-1,3/31/2022,86,82,86,84.7
Mushroom broth plate with sugar and yeast fly age “3”,MSY3,three,experimental,1,Y,MS,MSY3-1,3/31/2022,50,51,50,50.3
Mushroom broth plate with no sugar and yeast fly age “3”,MNSY3,three,experimental,2,Y,MNS,MNSY3-2,4/14/2022,41,43,42,42.0
