unique_abvreviation,photo_date,count_date,count_replicate,A_count,B_count,C_count,D_count,total
MASY2-1,4/7/2022,4/8/2022,1,11,9,36,22,78
MASY2-1,4/7/2022,4/8/2022,2,13,11,36,20,80
MASY2-1,4/7/2022,4/8/2022,3,12,11,37,20,80
MNSY2-1,4/7/2022,4/8/2022,1,19,5,11,17,52
MNSY2-1,4/7/2022,4/8/2022,2,17,8,9,18,52
MNSY2-1,4/7/2022,4/8/2022,3,18,7,10,16,51
AJS2-1,4/7/2022,4/8/2022,1,12,4,6,11,33
AJS2-1,4/7/2022,4/8/2022,2,10,6,6,11,33
AJS2-1,4/7/2022,4/8/2022,3,10,6,5,12,33
MNS2-1,4/7/2022,4/8/2022,1,20,13,9,15,57
MNS2-1,4/7/2022,4/8/2022,2,19,15,8,16,58
MNS2-1,4/7/2022,4/8/2022,3,19,14,8,15,56
MNSY2-2,4/8/2022,4/8/2022,1,10,11,10,7,38
MNSY2-2,4/8/2022,4/8/2022,2,9,9,10,8,36
MNSY2-2,4/8/2022,4/8/2022,3,10,9,11,8,38
MSY2-1,4/8/2022,4/8/2022,1,7,8,14,9,38
MSY2-1,4/8/2022,4/8/2022,2,6,8,14,8,36
MSY2-1,4/8/2022,4/8/2022,3,7,6,13,10,36
MNSY2-3,4/8/2022,4/8/2022,1,5,6,4,4,19
MNSY2-3,4/8/2022,4/8/2022,2,7,6,5,3,21
MNSY2-3,4/8/2022,4/8/2022,3,4,7,6,4,21
MASY2-2,4/8/2022,4/8/2022,1,7,16,19,11,53
MASY2-2,4/8/2022,4/8/2022,2,7,18,18,11,54
MASY2-2,4/8/2022,4/8/2022,3,8,21,17,10,56
MASY2-3,4/15/2022,4/18/2022,1,28,15,7,14,64
MASY2-3,4/15/2022,4/18/2022,2,29,16,7,15,67
MASY2-3,4/15/2022,4/18/2022,3,33,16,8,15,72
MNS2-2,4/15/2022,4/18/2022,1,5,8,10,10,33
MNS2-2,4/15/2022,4/18/2022,2,5,8,11,10,34
MNS2-2,4/15/2022,4/18/2022,3,6,8,10,10,34
AJS2-2,4/15/2022,4/18/2022,1,20,28,26,13,87
AJS2-2,4/15/2022,4/18/2022,2,20,26,27,18,91
AJS2-2,4/15/2022,4/18/2022,3,20,27,25,18,90
AJSY2-1,4/15/2022,4/18/2022,1,9,12,15,12,48
AJSY2-1,4/15/2022,4/18/2022,2,8,11,14,10,43
AJSY2-1,4/15/2022,4/18/2022,3,8,11,13,11,43
MSY2-2,5/5/2022,5/8/2022,1,29,6,25,21,81
MSY2-2,5/5/2022,5/8/2022,2,28,8,25,20,81
MSY2-2,5/5/2022,5/8/2022,3,28,6,24,19,77
MSY2-3,5/5/2022,5/8/2022,1,27,15,23,29,94
MSY2-3,5/5/2022,5/8/2022,2,27,13,23,27,90
MSY2-3,5/5/2022,5/8/2022,3,27,13,22,29,91
MAS2-1,5/5/2022,5/8/2022,1,45,31,26,30,132
MAS2-1,5/5/2022,5/8/2022,2,43,29,28,33,133
