tube_number,day extracted ,PCR results COI,PCR results p47,treatment abrev,alive_when_frozen,sex,,,,,
9,20220929,yes,no,D,no,F,,,,,
10,20220929,yes,no,D,no,F,,,,,
11,20220929,yes,no,D,no,M,,,,,
12,20221020,yes,no,D,no,F,,,,,
13,20220929,yes,no,D,no,F,,,,,
14,20221020,yes,no,D,no,M,,,,,
15,20221006,yes,no,D,no,F,,,,,
21,20221006,yes,no,D,no,M,,,,,
22,20221006,yes,no,D,no,M,,,,,
23,20221020,yes,no,D,no,F,,,,,
24,20221020,yes,yes,D,no,F,,,,,
25,20221006,yes,no,D,no,F,,,,,
26,20221006,yes,no,D,no,M,,,,,
27,20221006,yes,no,D,no,F,,,,,
28,20220929,yes,no,D,no,F,,,,,
29,20221006,yes,no,D,no,F,,,,,
37,20220929,yes,no,D,no,F,,,,,
38,20220929,yes,yes,D,no,F,,,,,
39,20220929,yes,no,D,no,M,,,,,
40,20220929,yes,yes,D,no,M,,,,,
41,20221006,yes,no,D,no,F,,,,,
42,20220929,yes,no,D,no,F,,,,,
43,20221020,yes,no,D,no,M,,,,,
44,20221006,yes,no,D,yes,M,,,,,
45,20221020,yes,no,D,yes,M,,,,,
46,20221020,yes,no,D,yes,M,,,,,
47,20220929,yes,no,D,yes,F,,,,,
48,20221006,yes,no,D,yes,F,,,,,
49,20221006,yes,no,D,yes,M,,,,,
50,20220929,yes,no,D,yes,M,,,,,
51,20220929,yes,yes,D,yes,M,,,,,
52,20221006,yes,no,D,yes,F,,,,,
53,20221006,yes,no,D,yes,F,,,,,
54,20221006,yes,no,D,yes,F,,,,,
55,20221006,yes,no,D,yes,F,,,,,
56,20220929,yes,no,D,yes,F,,,,,
57,20220929,yes,no,D,no,M,,,,,
58,20221006,yes,yes,D,yes,M,,,,,
59,20220929,yes,yes,D,yes,M,,,,,
60,20221020,yes,yes,D,yes,M,,,,,
61,20220929,yes,no,D,yes,M,,,,,
62,20220929,yes,no,D,yes,M,,,,,1.ND
63,20220929,yes,no,D,yes,M,,,,,
64,20220929,yes,no,D,yes,M,,,,,
65,20220929,yes,no,D,yes,M,,,,,
66,20221006,yes,no,D,yes,M,,,,,
67,20221006,yes,no,D,no,F,,,,,
83,20220929,yes,no,D,no,M,,,,,
84,20221020,yes,maybe,D,no,M,,,,,
85,20221020,yes,maybe,D,no,M,,,,,
86,20221006,yes,yes,D,no,M,,,,,
87,20220929,yes,no,D,no,M,,,,,
88,20221006,yes,yes,D,no,M,,,,,
89,20220929,yes,no,D,no,F,,,,,
90,20220929,yes,no,D,no,M,,,,,
91,20221006,yes,no,D,no,M,,,,,
92,20220929,yes,no,D,no,M,,,,,
93,20220929,yes,no,D,no,M,,,,,
94,20221006,yes,no,D,no,M,,,,,
95,20221020,yes,no,D,no,F,,,,,
96,20221006,yes,no,D,no,F,,,,,
97,20220929,yes,no,D,no,F,,,,,
98,20220929,yes,no,D,no,F,,,,,
99,20220929,yes,no,D,no,M,,,,,
100,20220929,yes,maybe,D,no,M,,,,,
101,20221006,yes,no,D,no,M,,,,,
102,20220929,yes,no,D,no,M,,,,,
103,20221006,yes,no,D,no,M,,,,,
104,20221006,yes,no,D,no,M,,,,,
105,20221020,yes,no,D,no,M,,,,,
106,20220929,yes,no,D,no,M,,,,,
107,20221006,yes,no,D,no,M,,,,,
108,20221006,yes,no,D,no,M,,,,,
109,20221020,yes,no,D,no,F,,,,,
110,20221006,yes,no,D,no,F,,,,,
111,20221006,yes,no,D,no,F,,,,,
112,20220929,yes,no,D,no,F,,,,,
114,20220929,yes,no,D,no,M,,,,,
115,20221006,yes,yes,D,no,M,,,,,
116,20221020,yes,no,D,no,M,,,,,
117,20220929,yes,no,D,no,F,,,,,
118,20221006,yes,no,D,no,M,,,,,
119,20220929,yes,no,D,no,M,,,,,
120,20221006,yes,no,D,no,F,,,,,
16,20221006,yes,no,M,no,M,,,,,
17,20221006,yes,no,M,no,M,,,,,
18,20220929,yes,no,M,no,F,,,,,
19,20221020,yes,no,M,no,F,,,,,
20,20221020,yes,no,M,no,F,,,,,
30,20220929,yes,no,M,no,M,,,,,
31,20221006,yes,no,M,no,M,,,,,
32,20221006,yes,no,M,no,M,,,,,
33,20221006,yes,no,M,no,F,,,,,
34,20220929,yes,no,M,no,F,,,,,
35,20220929,yes,no,M,no,F,,,,,
36,20221006,yes,no,M,no,F,,,,,
68,20220929,yes,no,M,no,M,,,,,
69,20221020,yes,no,M,no,M,,,,,
70,20221006,yes,no,M,no,M,,,,,
71,20221006,yes,no,M,yes,M,,,,,
72,20221020,yes,no,M,yes,M,,,,,
73,20221020,yes,no,M,yes,M,,,,,
74,20221006,yes,no,M,yes,M,,,,,
75,20220929,yes,no,M,no,M,,,,,
76,20221006,yes,no,M,no,M,,,,,
77,20220929,yes,no,M,no,M,,,,,
78,20221020,yes,no,M,no,M,,,,,
79,20220929,yes,no,M,no,M,,,,,
80,20221020,yes,no,M,no,M,,,,,
81,20220929,yes,no,M,no,M,,,,,
82,20221020,yes,no,M,no,M,,,,,
113,20221006,yes,no,M,no,M,,,,,
