tube_number,Extraction_date,Extraced_by,CO1_PCR_date,p47_PCR_date,CO1_PCR_Results,p47_PCR_results,treatment abrev,alive_when_frozen
1,2/25/2023,Huan,3/3/2023,3/3/2023,yes,yes,CCM,yes
2,1/19/2023,Huan,1/27/2023,1/28/2023,yes,no,CCM,yes
3,12/18/2022,Huan,12/27/2022,12/29/2022,yes,no,CCM,yes
4,2/25/2023,Huan,3/3/2023,3/3/2023,yes,maybe,DiNV,yes
5,3/5/2023,Huan,3/6/2023,3/6/2023,yes,maybe,DiNV,yes
6,2/25/2023,Huan,3/3/2023,3/3/2023,yes,yes,DiNV,yes
7,1/19/2023,Huan,1/27/2023,1/28/2023,yes,no,NP,yes
8,3/5/2023,Huan,3/6/2023,3/6/2023,yes,no,NP,yes
9,12/18/2022,Huan,12/27/2022,12/29/2022,yes,no,NP,yes
10,1/19/2023,Huan,1/27/2023,1/28/2023,yes,no,CCM,no
11,1/7/2023,Huan,1/8/2023,1/12/2023,no,no,DiNV,no
12,1/7/2023,Huan,1/8/2023,1/12/2023,yes,no,DiNV,no
13,1/19/2023,Huan,1/27/2023,1/28/2023,maybe,no,DiNV,no
14,12/18/2022,Huan,12/27/2022,12/29/2022,no,no,DiNV,no
15,2/25/2023,Huan,3/3/2023,3/3/2023,no,no,CCM,no
16,1/19/2023,Huan,1/27/2023,1/28/2023,no,no,DiNV,no
17,2/25/2023,Huan,3/3/2023,3/3/2023,no,no,DiNV,no
18,1/21/2023,Huan,2/18/2023,2/19/2023,yes,no,NP,no
19,2/25/2023,Huan,3/3/2023,3/3/2023,yes,no,NP,no
20,2/25/2023,Huan,3/3/2023,3/3/2023,yes,yes,NP,no
21,2/25/2023,Huan,3/3/2023,3/3/2023,yes,yes,DiNV,no
22,2/25/2023,Huan,3/3/2023,3/3/2023,yes,maybe,DiNV,no
23,2/25/2023,Huan,3/3/2023,3/3/2023,yes,yes,DiNV,no
24,1/19/2023,Huan,1/27/2023,1/28/2023,yes,yes,DiNV,no
25,1/7/2023,Huan,1/8/2023,1/12/2023,no,yes,DiNV,no
26,1/7/2023,Huan,1/8/2023,1/12/2023,no,no,DiNV,no
27,3/5/2023,Huan,3/6/2023,3/6/2023,yes,yes,DiNV,no
28,2/25/2023,Huan,3/3/2023,3/3/2023,yes,no,CCM,yes
29,3/5/2023,Huan,3/6/2023,3/6/2023,yes,maybe,CCM,yes
30,1/21/2023,Huan,2/18/2023,2/19/2023,yes,no,CCM,yes
31,1/21/2023,Huan,2/18/2023,2/19/2023,yes,no,CCM,yes
32,3/5/2023,Huan,3/6/2023,3/6/2023,yes,no,CCM,yes
33,1/21/2023,Huan,2/18/2023,2/19/2023,yes,no,CCM,yes
34,1/7/2023,Huan,1/8/2023,1/12/2023,no,no,CCM,yes
35,2/25/2023,Huan,3/3/2023,3/3/2023,yes,yes,CCM,yes
36,1/21/2023,Huan,2/18/2023,2/19/2023,yes,no,CCM,no
37,2/25/2023,Huan,3/3/2023,3/3/2023,yes,yes,DiNV,yes
38,1/21/2023,Huan,2/18/2023,2/19/2023,yes,yes,DiNV,yes
39,1/7/2023,Huan,1/8/2023,1/12/2023,no,no,DiNV,yes
40,2/25/2023,Huan,3/3/2023,3/3/2023,yes,yes,DiNV,yes
41,1/19/2023,Huan,1/27/2023,1/28/2023,yes,no,NP,yes
42,3/5/2023,Huan,3/6/2023,3/6/2023,yes,no,NP,yes
43,12/18/2022,Huan,12/27/2022,12/29/2022,yes,no,NP,yes
44,3/5/2023,Huan,3/6/2023,3/6/2023,yes,no,NP,yes
45,1/21/2023,Huan,2/18/2023,2/19/2023,yes,no,NP,yes
46,1/7/2023,Huan,1/8/2023,1/12/2023,yes,no,DiNV,yes
47,1/19/2023,Huan,1/27/2023,1/28/2023,yes,yes,DiNV,yes
48,3/5/2023,Huan,3/6/2023,3/6/2023,no,no,DiNV,yes
49,1/21/2023,Huan,2/18/2023,2/19/2023,yes,yes,DiNV,yes
50,1/21/2023,Huan,2/18/2023,2/19/2023,yes,maybe,DiNV,yes
51,1/7/2023,Huan,1/8/2023,1/12/2023,yes,no,DiNV,yes
52,1/7/2023,Huan,1/8/2023,1/12/2023,yes,no,DiNV,yes
53,1/7/2023,Huan,1/8/2023,1/12/2023,yes,no,DiNV,yes
54,2/25/2023,Huan,3/3/2023,3/3/2023,no,no,DiNV,yes
