sample_ID,extraction date,COI/TPI date,p47 date,p47_redo_date,CO1_result,tpi_result,p47_result,p47_30_cycle_result,sex,treatment,day_frozen
1,20230608,20230620,20230620,20230625,yes,yes,yes,no,male,sterile poke,day0
2,20230608,20230620,20230620,20230625,yes,yes,no,no,male,sterile poke,day0
3,20230612,20230622,20230622,20230625,yes,yes,maybe,no,male,sterile poke,day0
4,20230612,20230622,20230622,20230625,yes,yes,yes,no,male,sterile poke,day0
5,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,sterile poke,day0
6,20230612,20230622,20230622,20230625,yes,yes,NA,no,female,sterile poke,day0
7,20230609,20230622,20230622,20230625,yes,yes,yes,maybe,female,sterile poke,day0
8,20230607,20230620,20230620,20230625,yes,yes,maybe,no,female,sterile poke,day0
9,20230608,20230620,20230620,20230625,yes,yes,no,no,female,sterile poke,day0
10,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,sterile poke,day0
11,20230609,20230622,20230622,20230625,yes,yes,yes,no,male,16Cq DiNV,day0
12,20230612,20230622,20230622,20230625,yes,yes,maybe,no,male,16Cq DiNV,day0
13,20230607,20230620,20230620,20230625,yes,yes,yes,no,male,16Cq DiNV,day0
14,20230608,20230620,20230620,20230625,yes,no,maybe,no,male,16Cq DiNV,day0
15,20230607,20230620,20230620,20230625,yes,yes,yes,no,male,16Cq DiNV,day0
16,20230612,20230622,20230622,20230625,yes,yes,no,no,male,16Cq DiNV,day0
17,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day0
18,20230608,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day0
19,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day0
21,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day0
22,20230607,20230620,20230620,20230625,yes,yes,no,no,female,16Cq DiNV,day0
23,20230607,20230620,20230620,20230625,yes,yes,yes,no,female,16Cq DiNV,day0
24,20230612,20230622,20230622,20230625,yes,yes,yes,no,female,16Cq DiNV,day0
25,20230607,20230620,20230620,20230625,yes,yes,no,no,female,16Cq DiNV,day0
26,20230607,20230620,20230620,20230625,yes,yes,yes,no,female,16Cq DiNV,day0
27,20230608,20230620,20230620,20230625,yes,yes,no,no,female,16Cq DiNV,day0
28,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day0
29,20230607,20230620,20230620,20230625,yes,yes,no,yes,female,16Cq DiNV,day0
30,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day0
31,20230609,20230622,20230622,20230625,yes,yes,yes,no,male,sterile poke,day3
32,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,sterile poke,day3
33,20230607,20230620,20230620,20230625,yes,yes,no,no,male,sterile poke,day3
34,20230608,20230620,20230620,20230625,yes,yes,no,no,male,sterile poke,day3
35,20230608,20230620,20230620,20230625,yes,yes,yes,no,male,sterile poke,day3
36,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,sterile poke,day3
37,20230608,20230620,20230620,20230625,yes,yes,yes,no,female,sterile poke,day3
38,20230612,20230622,20230622,20230625,yes,yes,yes,yes,female,sterile poke,day3
39,20230607,20230620,20230620,20230625,yes,yes,yes,no,female,sterile poke,day3
40,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,sterile poke,day3
41,20230609,20230622,20230622,20230625,yes,yes,NA,yes,male,16Cq DiNV,day3
42,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day3
43,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day3
44,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day3
45,20230609,20230622,20230622,20230625,yes,yes,yes,no,male,16Cq DiNV,day3
46,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day3
47,20230608,20230620,20230620,20230625,yes,yes,yes,no,male,16Cq DiNV,day3
48,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day3
49,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day3
50,20230612,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day3
51,20230612,20230622,20230622,20230625,yes,yes,maybe,no,male,16Cq DiNV,day3
52,20230607,20230620,20230620,20230625,yes,yes,yes,no,male,16Cq DiNV,day3
53,20230607,20230620,20230620,20230625,yes,yes,yes,no,male,16Cq DiNV,day3
54,20230607,20230620,20230620,20230625,yes,yes,yes,maybe,male,16Cq DiNV,day3
55,20230608,20230622,20230622,20230625,yes,yes,maybe,no,male,16Cq DiNV,day3
56,20230607,20230620,20230620,20230625,yes,yes,no,no,male,16Cq DiNV,day3
57,20230607,20230620,20230620,20230625,yes,yes,no,no,male,16Cq DiNV,day3
58,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day3
59,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day3
61,20230609,20230622,20230622,20230625,yes,yes,maybe,no,female,16Cq DiNV,day3
62,20230607,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day3
63,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day3
64,20230608,20230620,20230620,20230625,yes,yes,yes,no,female,16Cq DiNV,day3
65,20230607,20230620,20230620,20230625,yes,yes,yes,no,female,16Cq DiNV,day3
66,20230609,20230622,20230622,20230625,yes,yes,maybe,no,female,16Cq DiNV,day3
67,20230607,20230620,20230620,20230625,yes,yes,yes,no,female,16Cq DiNV,day3
68,20230612,20230622,20230622,20230625,yes,yes,yes,maybe,female,16Cq DiNV,day3
69,20230609,20230622,20230622,20230625,yes,yes,yes,no,female,16Cq DiNV,day3
70,20230607,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day3
71,20230607,20230620,20230620,20230625,yes,yes,yes,no,female,16Cq DiNV,day3
72,20230612,20230622,20230622,20230625,yes,yes,no,no,female,16Cq DiNV,day3
73,20230612,20230622,20230622,20230625,yes,yes,maybe,no,female,16Cq DiNV,day3
74,20230607,20230620,20230620,20230625,yes,yes,no,no,female,16Cq DiNV,day3
75,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day3
76,20230607,20230620,20230620,20230625,yes,yes,no,no,female,16Cq DiNV,day3
77,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day3
78,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day3
79,20230608,20230620,20230620,20230625,yes,yes,yes,maybe,female,16Cq DiNV,day3
80,20230607,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day3
81,20230607,20230620,20230620,20230625,yes,maybe,yes,yes,male,sterile poke,day3
82,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day3
83,20230607,20230620,20230620,20230625,no,no,yes,no,female,16Cq DiNV,day3
84,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,sterile poke,day5
85,20230607,20230620,20230620,20230625,yes,yes,no,no,male,sterile poke,day5
86,20230607,20230620,20230620,20230625,yes,yes,no,yes,male,sterile poke,day5
87,20230612,20230622,20230622,20230625,yes,yes,maybe,no,male,sterile poke,day5
88,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,sterile poke,day5
89,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,sterile poke,day5
90,20230607,20230620,20230620,20230625,yes,yes,no,no,female,sterile poke,day5
91,20230607,20230620,20230620,20230625,yes,yes,yes,yes,female,sterile poke,day5
92,20230609,20230622,20230622,20230625,yes,yes,maybe,no,female,sterile poke,day5
94,20230608,20230620,20230620,20230625,yes,yes,yes,no,male,16Cq DiNV,day5
95,20230607,20230620,20230620,20230625,yes,yes,yes,no,male,16Cq DiNV,day5
96,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
97,20230612,20230622,20230622,20230625,yes,yes,no,yes,male,16Cq DiNV,day5
98,20230612,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
99,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
100,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
101,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
102,20230608,20230622,20230622,20230625,yes,yes,maybe,no,male,16Cq DiNV,day5
103,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
104,20230612,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
105,20230608,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
106,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
107,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
108,20230608,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
109,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
110,20230612,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
111,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
112,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
113,20230608,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day5
114,20230612,20230622,20230622,20230625,yes,yes,yes,maybe,female,16Cq DiNV,day5
115,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
116,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
117,20230612,20230622,20230622,20230625,yes,yes,maybe,no,female,16Cq DiNV,day5
118,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
119,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
120,20230612,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
121,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
122,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
124,20230607,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
125,20230607,20230620,20230620,20230625,yes,yes,yes,maybe,female,16Cq DiNV,day5
126,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
127,20230607,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
128,20230612,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
129,20230607,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
130,20230609,20230622,20230622,20230625,yes,yes,no,no,female,16Cq DiNV,day5
131,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
132,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
133,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day5
134,20230608,20230620,20230620,20230625,yes,yes,yes,maybe,male,sterile poke,day5
135,20230612,20230622,20230622,20230625,yes,yes,NA,no,female,16Cq DiNV,day5
136,20230609,20230622,20230622,20230625,yes,no,yes,maybe,female,16Cq DiNV,day5
137,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day8
138,20230609,20230622,20230622,20230625,yes,yes,yes,no,female,16Cq DiNV,day8
139,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day8
140,20230612,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day8
141,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day8
142,20230607,20230620,20230620,20230625,yes,yes,yes,maybe,male,sterile poke,day10
143,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,sterile poke,day10
144,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,sterile poke,day10
145,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,sterile poke,day10
146,20230609,20230622,20230622,20230625,yes,yes,yes,no,female,sterile poke,day10
147,20230612,20230622,20230622,20230625,yes,yes,yes,no,female,sterile poke,day10
148,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,sterile poke,day10
149,20230609,20230622,20230622,20230625,yes,yes,yes,no,female,sterile poke,day10
150,20230612,20230622,20230622,20230625,no,no,yes,yes,male,16Cq DiNV,day10
151,20230612,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
152,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
153,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
154,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
155,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
156,20230612,20230622,20230622,20230625,no,yes,yes,no,male,16Cq DiNV,day10
157,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
158,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
159,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
160,20230608,20230622,20230622,20230625,no,yes,yes,yes,male,16Cq DiNV,day10
161,20230608,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
162,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
163,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
164,20230612,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
165,20230607,20230620,20230620,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
166,20230609,20230622,20230622,20230625,yes,yes,yes,yes,male,16Cq DiNV,day10
167,20230612,20230622,20230622,20230625,no,no,yes,yes,male,16Cq DiNV,day10
168,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day10
169,20230608,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day10
170,20230612,20230622,20230622,20230625,yes,yes,maybe,no,female,16Cq DiNV,day10
171,20230608,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day10
172,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day10
173,20230607,20230620,20230620,20230625,yes,yes,yes,yes,female,16Cq DiNV,day10
174,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day10
175,20230609,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day10
176,20230612,20230622,20230622,20230625,yes,yes,yes,yes,female,16Cq DiNV,day10
177,20230608,20230622,20230622,20230625,yes,yes,maybe,no,female,16Cq DiNV,day10
178,20230609,20230622,20230622,20230625,yes,yes,yes,maybe,female,16Cq DiNV,day10
