tube,replicate,treatment,day frozen,dead?,p47 result,TPI result,CO1 result
ex ctrl 1,A,NA,NA,NA,no,no,NA
2,A,0.05 FFU,day3,yes,yes,no,yes
3,A,0.05 FFU,day3,yes,yes,yes,yes
4,A,0.005 FFU,day6,yes,NA,no,yes
5,A,0.005 FFU,day6,yes,no,yes,yes
6,A,0.01 FFU,day6,yes,no,yes,yes
7,A,0.05 FFU,day6,yes,yes,yes,yes
8,A,0.05 FFU,day6,yes,yes,yes,yes
9,A,0.005 FFU,day9,yes,no,yes,yes
10,A,0.005 FFU,day9,yes,no,yes,yes
11,A,0.01 FFU,day9,yes,yes,yes,yes
12,A,0.05 FFU,day9,yes,yes,yes,yes
13,A,0.05 FFU,day9,yes,yes,yes,yes
14,A,0.05 FFU,day9,yes,yes,yes,yes
15,A,0.05 FFU,day9,yes,yes,yes,yes
16,A,0.05 FFU,day9,yes,yes,yes,yes
17,A,0.05 FFU,day9,yes,yes,yes,no
18,A,0.05 FFU,day9,yes,yes,no,yes
19,A,0.01 FFU,day9,yes,yes,yes,yes
20,A,0.01 FFU,day9,yes,yes,yes,yes
21,A,0.01 FFU,day9,yes,yes,yes,yes
23,A,0.005 FFU,day12,yes,no,yes,yes
24,A,0.005 FFU,day12,yes,yes,yes,yes
25,A,0.01 FFU,day12,yes,yes,yes,yes
26,A,0.01 FFU,day12,yes,yes,yes,yes
27,A,0.05 FFU,day12,yes,yes,yes,yes
28,A,0.05 FFU,day12,yes,yes,yes,yes
29,A,0.05 FFU,day12,yes,yes,yes,yes
30,A,0.05 FFU,day12,yes,yes,no,yes
31,A,0.01 FFU,day12,yes,yes,yes,yes
32,A,0.01 FFU,day12,yes,yes,yes,yes
33,A,0.01 FFU,day12,yes,yes,yes,yes
59,A,0.005 FFU,day14,no,yes,yes,yes
60,A,0.005 FFU,day14,no,NA,yes,yes
61,A,0.005 FFU,day14,no,yes,yes,yes
62,A,0.005 FFU,day14,no,yes,yes,yes
66,A,0.005 FFU,day14,yes,yes,yes,yes
67,A,0.01 FFU,day14,no,yes,yes,yes
68,A,0.01 FFU,day14,no,yes,yes,yes
69,A,0.01 FFU,day14,no,yes,yes,yes
70,A,0.01 FFU,day14,no,yes,yes,yes
71,A,0.01 FFU,day14,no,yes,yes,yes
72,A,0.01 FFU,day14,no,no,yes,yes
73,A,0.05 FFU,day14,no,yes,yes,no
74,A,0.05 FFU,day14,no,yes,yes,yes
75,A,0.05 FFU,day14,no,yes,yes,yes
76,A,0.05 FFU,day14,no,yes,yes,no
ex ctrl 2,A,NA,NA,NA,no,no,NA
ex ctrl 3,A,NA,NA,NA,no,no,no
22,A,CCM,day12,yes,no,yes,yes
38,A,CCM,day14,no,no,yes,yes
39,A,CCM,day14,no,no,yes,yes
40,A,CCM,day14,no,no,yes,yes
41,A,CCM,day14,no,no,yes,yes
42,A,CCM,day14,no,no,yes,yes
43,A,CCM,day14,no,no,yes,yes
44,A,CCM,day14,no,no,yes,yes
45,A,CCM,day14,no,no,yes,yes
46,A,CCM,day14,no,no,yes,no
