Well,Fluor,Target,Extraction method,Sample,unique-name,type,replicate,Cq
A01,SYBR,RPL11,Hirt,A,A-RPL11,virus,1,23.5
A02,SYBR,RPL11,Hirt,A,A-RPL11,virus,2,23.63
A03,SYBR,RPL11,Hirt,A,A-RPL11,virus,3,23.57
A04,SYBR,RPL11,Hirt,B,B-RPL11,virus,1,23.4
A05,SYBR,RPL11,Hirt,B,B-RPL11,virus,2,23.52
A06,SYBR,RPL11,Hirt,B,B-RPL11,virus,3,23.52
A07,SYBR,RPL11,Hirt,C,C-RPL11,control,1,25.37
A08,SYBR,RPL11,Hirt,C,C-RPL11,control,2,25.74
A09,SYBR,RPL11,Hirt,C,C-RPL11,control,3,25.74
B01,SYBR,RPL11,Puregene,D,D-RPL11,virus,1,23.55
B02,SYBR,RPL11,Puregene,D,D-RPL11,virus,2,23.57
B03,SYBR,RPL11,Puregene,D,D-RPL11,virus,3,23.56
B04,SYBR,RPL11,Puregene,E,E-RPL11,virus,1,23.69
B05,SYBR,RPL11,Puregene,E,E-RPL11,virus,2,23.69
B06,SYBR,RPL11,Puregene,E,E-RPL11,virus,3,23.61
B07,SYBR,RPL11,Puregene,F,F-RPL11,control,1,23.07
B08,SYBR,RPL11,Puregene,F,F-RPL11,control,2,23.39
B09,SYBR,RPL11,Puregene,F,F-RPL11,control,3,23.09
C01,SYBR,115,Hirt,A,A-115,virus,1,26.43
C02,SYBR,115,Hirt,A,A-115,virus,2,26.47
C03,SYBR,115,Hirt,A,A-115,virus,3,26.48
C04,SYBR,115,Hirt,B,B-115,virus,1,25.38
C05,SYBR,115,Hirt,B,B-115,virus,2,40
C06,SYBR,115,Hirt,B,B-115,virus,3,26.4
C07,SYBR,115,Hirt,C,C-115,control,1,30.82
C08,SYBR,115,Hirt,C,C-115,control,2,31.19
C09,SYBR,115,Hirt,C,C-115,control,3,30.94
D01,SYBR,115,Puregene,D,D-115,virus,1,27.05
D02,SYBR,115,Puregene,D,D-115,virus,2,27.06
D03,SYBR,115,Puregene,D,D-115,virus,3,27.13
D04,SYBR,115,Puregene,E,E-115,virus,1,27.22
D05,SYBR,115,Puregene,E,E-115,virus,2,27.2
D06,SYBR,115,Puregene,E,E-115,virus,3,27.26
D07,SYBR,115,Puregene,F,F-115,control,1,30.25
D08,SYBR,115,Puregene,F,F-115,control,2,30.04
D09,SYBR,115,Puregene,F,F-115,control,3,29.8
