Well,Fluor,Target,Extraction method,Sample,Cq
A01,SYBR,RPL11,Hirt,A,23.5
A02,SYBR,RPL11,Hirt,A,23.63
A03,SYBR,RPL11,Hirt,A,23.57
A04,SYBR,RPL11,Hirt,B,23.4
A05,SYBR,RPL11,Hirt,B,23.52
A06,SYBR,RPL11,Hirt,B,23.52
A07,SYBR,RPL11,Hirt,C,25.37
A08,SYBR,RPL11,Hirt,C,25.74
A09,SYBR,RPL11,Hirt,C,25.74
B01,SYBR,RPL11,Puregene,D,23.55
B02,SYBR,RPL11,Puregene,D,23.57
B03,SYBR,RPL11,Puregene,D,23.56
B04,SYBR,RPL11,Puregene,E,23.69
B05,SYBR,RPL11,Puregene,E,23.69
B06,SYBR,RPL11,Puregene,E,23.61
B07,SYBR,RPL11,Puregene,F,23.07
B08,SYBR,RPL11,Puregene,F,23.39
B09,SYBR,RPL11,Puregene,F,23.09
C01,SYBR,115,Hirt,A,26.43
C02,SYBR,115,Hirt,A,26.47
C03,SYBR,115,Hirt,A,26.48
C04,SYBR,115,Hirt,B,25.38
C05,SYBR,115,Hirt,B,NA
C06,SYBR,115,Hirt,B,26.4
C07,SYBR,115,Hirt,C,30.82
C08,SYBR,115,Hirt,C,31.19
C09,SYBR,115,Hirt,C,30.94
D01,SYBR,115,Puregene,D,27.05
D02,SYBR,115,Puregene,D,27.06
D03,SYBR,115,Puregene,D,27.13
D04,SYBR,115,Puregene,E,27.22
D05,SYBR,115,Puregene,E,27.2
D06,SYBR,115,Puregene,E,27.26
D07,SYBR,115,Puregene,F,30.25
D08,SYBR,115,Puregene,F,30.04
D09,SYBR,115,Puregene,F,29.8
