well,plate,qPCR_replicate,sample_ID,primer,cell_type,sample_type,day,infected?,Cq
A01,plate_1,1,13,RP49,Myd88,supernatant,5,yes,28.07
A02,plate_1,2,13,RP49,Myd88,supernatant,5,yes,28.31
A03,plate_1,3,13,RP49,Myd88,supernatant,5,yes,28.3
A04,plate_1,1,13,115,Myd88,supernatant,5,yes,NA
A05,plate_1,2,13,115,Myd88,supernatant,5,yes,NA
A06,plate_1,3,13,115,Myd88,supernatant,5,yes,37.26
A07,plate_1,1,7,RPL11,Dv1,supernatant,5,yes,25.38
A08,plate_1,2,7,RPL11,Dv1,supernatant,5,yes,25.62
A09,plate_1,3,7,RPL11,Dv1,supernatant,5,yes,25.26
A10,plate_1,1,13,Lambda,Myd88,supernatant,5,yes,26.44
A11,plate_1,2,13,Lambda,Myd88,supernatant,5,yes,26.72
A12,plate_1,3,13,Lambda,Myd88,supernatant,5,yes,26.74
B01,plate_1,1,12,RP49,Myd88,cells,5,yes,24.94
B02,plate_1,2,12,RP49,Myd88,cells,5,yes,24.97
B03,plate_1,3,12,RP49,Myd88,cells,5,yes,25.05
B04,plate_1,1,12,115,Myd88,cells,5,yes,33.76
B05,plate_1,2,12,115,Myd88,cells,5,yes,34.31
B06,plate_1,3,12,115,Myd88,cells,5,yes,33.88
B07,plate_1,1,9,RPL11,Dv1,supernatant,5,no,27.04
B08,plate_1,2,9,RPL11,Dv1,supernatant,5,no,27.2
B09,plate_1,3,9,RPL11,Dv1,supernatant,5,no,27.16
B10,plate_1,1,3,Lambda,Myd88,supernatant,0,yes,20.35
B11,plate_1,2,3,Lambda,Myd88,supernatant,0,yes,20.51
B12,plate_1,3,3,Lambda,Myd88,supernatant,0,yes,20.69
C01,plate_1,1,14,RP49,Myd88,cells,5,yes,26.45
C02,plate_1,2,14,RP49,Myd88,cells,5,yes,26.32
C03,plate_1,3,14,RP49,Myd88,cells,5,yes,26.42
C04,plate_1,1,14,115,Myd88,cells,5,yes,34.47
C05,plate_1,2,14,115,Myd88,cells,5,yes,34.57
C06,plate_1,3,14,115,Myd88,cells,5,yes,34.06
C07,plate_1,1,1,RPL11,Dv1,supernatant,0,yes,31.41
C08,plate_1,2,1,RPL11,Dv1,supernatant,0,yes,31.53
C09,plate_1,3,1,RPL11,Dv1,supernatant,0,yes,31.99
C10,plate_1,1,15,Lambda,Myd88,supernatant,5,no,27.52
C11,plate_1,2,15,Lambda,Myd88,supernatant,5,no,27.57
C12,plate_1,3,15,Lambda,Myd88,supernatant,5,no,27.63
D01,plate_1,1,16,RP49,Myd88,cells,5,no,27.95
D02,plate_1,2,16,RP49,Myd88,cells,5,no,27.88
D03,plate_1,3,16,RP49,Myd88,cells,5,no,27.9
D04,plate_1,1,16,115,Myd88,cells,5,no,NA
D05,plate_1,2,16,115,Myd88,cells,5,no,NA
D06,plate_1,3,16,115,Myd88,cells,5,no,NA
D07,plate_1,1,8,RPL11,Dv1,cells,5,yes,23.04
D08,plate_1,2,8,RPL11,Dv1,cells,5,yes,23.04
D09,plate_1,3,8,RPL11,Dv1,cells,5,yes,23
D10,plate_1,1,1,Lambda,Dv1,supernatant,0,yes,22.77
