well,plate,qPCR_replicate,sample_ID,primer,Cq,sample_type,date
A01,1,1,1,115,26.15,nonconcentrated,20230222
A02,1,2,1,115,25.8,nonconcentrated,20230222
A03,1,3,1,115,25.72,nonconcentrated,20230222
A05,1,1,1,lambda,23.6,nonconcentrated,20230222
A06,1,2,1,lambda,24.37,nonconcentrated,20230222
A07,1,3,1,lambda,24.27,nonconcentrated,20230222
B01,1,1,4,115,23.18,concentrated,20230222
B02,1,2,4,115,23.1,concentrated,20230222
B03,1,3,4,115,23.14,concentrated,20230222
B05,1,1,4,lambda,23.05,concentrated,20230222
B06,1,2,4,lambda,22.91,concentrated,20230222
B07,1,3,4,lambda,23.12,concentrated,20230222
C01,1,1,6,115,,flowthrough,20230222
C02,1,2,6,115,,flowthrough,20230222
C03,1,3,6,115,,flowthrough,20230222
C05,1,1,6,lambda,27.72,flowthrough,20230222
C06,1,2,6,lambda,26.85,flowthrough,20230222
C07,1,3,6,lambda,28.05,flowthrough,20230222
D01,1,1,8,115,25.39,nonconcentrated,20230213
D02,1,2,8,115,25.95,nonconcentrated,20230213
D03,1,3,8,115,26.19,nonconcentrated,20230213
D05,1,1,8,lambda,26.09,nonconcentrated,20230213
D06,1,2,8,lambda,26.09,nonconcentrated,20230213
D07,1,3,8,lambda,26.23,nonconcentrated,20230213
E01,1,1,11,115,23.09,concentrated,20230213
E02,1,2,11,115,22.19,concentrated,20230213
E03,1,3,11,115,22.45,concentrated,20230213
E05,1,1,11,lambda,23.58,concentrated,20230213
E06,1,2,11,lambda,23.81,concentrated,20230213
E07,1,3,11,lambda,23.82,concentrated,20230213
F01,1,1,13,115,,flowthrough,20230213
F02,1,2,13,115,39.52,flowthrough,20230213
F03,1,3,13,115,39.97,flowthrough,20230213
F05,1,1,13,lambda,30.41,flowthrough,20230213
F06,1,2,13,lambda,30.4,flowthrough,20230213
F07,1,3,13,lambda,30.2,flowthrough,20230213
G01,1,1,17,115,27.23,wash,20230222
G02,1,2,17,115,26.91,wash,20230222
G03,1,3,17,115,26.84,wash,20230222
G05,1,1,17,lambda,26.59,wash,20230222
G06,1,2,17,lambda,26.06,wash,20230222
G07,1,3,17,lambda,26.47,wash,20230222
H01,1,1,18,115,28.37,wash,20230213
H02,1,2,18,115,28.8,wash,20230213
H03,1,3,18,115,28.99,wash,20230213
H05,1,1,18,lambda,27.73,wash,20230213
H06,1,2,18,lambda,27.45,wash,20230213
H07,1,3,18,lambda,27.51,wash,20230213
