well,qPCR_plate,qPCR_replicate,sample_ID,primer,cell_type,sample_type,day,infected?,Cq,normalized
A01,plate_2,1,13,115,Dv1,cells,0,yes,32.59,no
A02,plate_2,2,13,115,Dv1,cells,0,yes,32.32,no
A03,plate_2,3,13,115,Dv1,cells,0,yes,32.01,no
A04,plate_2,1,14,115,Myd88,cells,0,yes,36.57,no
A05,plate_2,2,14,115,Myd88,cells,0,yes,35.99,no
A06,plate_2,3,14,115,Myd88,cells,0,yes,36.05,no
A07,plate_2,1,15,115,Dv1,cells,0,no,36.04,no
A08,plate_2,2,15,115,Dv1,cells,0,no,36.87,no
A09,plate_2,3,15,115,Dv1,cells,0,no,36.55,no
A10,plate_2,1,16,115,Myd88,cells,0,no,,no
A11,plate_2,2,16,115,Myd88,cells,0,no,,no
A12,plate_2,3,16,115,Myd88,cells,0,no,37.76,no
B01,plate_2,1,37,115,Dv1,cells,5,yes,28.70,yes
B02,plate_2,2,37,115,Dv1,cells,5,yes,28.91,yes
B03,plate_2,3,37,115,Dv1,cells,5,yes,28.57,yes
B04,plate_2,1,38,115,Myd88,cells,5,yes,,yes
B05,plate_2,2,38,115,Myd88,cells,5,yes,36.51,yes
B06,plate_2,3,38,115,Myd88,cells,5,yes,,yes
B07,plate_2,1,39,115,Dv1,cells,5,no,33.40,yes
B08,plate_2,2,39,115,Dv1,cells,5,no,34.01,yes
B09,plate_2,3,39,115,Dv1,cells,5,no,33.15,yes
B10,plate_2,1,40,115,Myd88,cells,5,no,,yes
B11,plate_2,2,40,115,Myd88,cells,5,no,,yes
B12,plate_2,3,40,115,Myd88,cells,5,no,,yes
C01,plate_2,1,41,115,Dv1,cells,5,yes,28.08,yes
C02,plate_2,2,41,115,Dv1,cells,5,yes,27.92,yes
C03,plate_2,3,41,115,Dv1,cells,5,yes,28.19,yes
C04,plate_2,1,42,115,Myd88,cells,5,yes,,yes
C05,plate_2,2,42,115,Myd88,cells,5,yes,,yes
C06,plate_2,3,42,115,Myd88,cells,5,yes,,yes
C07,plate_2,1,43,115,Dv1,cells,5,no,33.57,yes
C08,plate_2,2,43,115,Dv1,cells,5,no,34.22,yes
C09,plate_2,3,43,115,Dv1,cells,5,no,34.22,yes
C10,plate_2,1,44,115,Myd88,cells,5,no,,yes
C11,plate_2,2,44,115,Myd88,cells,5,no,,yes
C12,plate_2,3,44,115,Myd88,cells,5,no,,yes
D01,plate_2,1,45,115,Dv1,cells,5,yes,29.20,yes
D02,plate_2,2,45,115,Dv1,cells,5,yes,29.25,yes
D03,plate_2,3,45,115,Dv1,cells,5,yes,29.20,yes
D04,plate_2,1,46,115,Myd88,cells,5,yes,,yes
D05,plate_2,2,46,115,Myd88,cells,5,yes,,yes
D06,plate_2,3,46,115,Myd88,cells,5,yes,,yes
D07,plate_2,1,47,115,Dv1,cells,5,no,36.46,yes
D08,plate_2,2,47,115,Dv1,cells,5,no,36.09,yes
D09,plate_2,3,47,115,Dv1,cells,5,no,35.54,yes
D10,plate_2,1,48,115,Myd88,cells,5,no,,yes
D11,plate_2,2,48,115,Myd88,cells,5,no,,yes
D12,plate_2,3,48,115,Myd88,cells,5,no,,yes
E01,plate_2,1,13,RPL11,Dv1,cells,0,yes,27.92,yes
E02,plate_2,2,13,RPL11,Dv1,cells,0,yes,27.70,yes
E03,plate_2,3,13,RPL11,Dv1,cells,0,yes,27.74,yes
E04,plate_2,1,15,RPL11,Dv1,cells,0,no,28.40,yes
E05,plate_2,2,15,RPL11,Dv1,cells,0,no,28.59,yes
E06,plate_2,3,15,RPL11,Dv1,cells,0,no,28.50,yes
E07,plate_2,1,14,RP49,Myd88,cells,0,yes,29.32,yes
E08,plate_2,2,14,RP49,Myd88,cells,0,yes,29.61,yes
E09,plate_2,3,14,RP49,Myd88,cells,0,yes,29.65,yes
E10,plate_2,1,16,RP49,Myd88,cells,0,no,31.20,yes
E11,plate_2,2,16,RP49,Myd88,cells,0,no,31.40,yes
E12,plate_2,3,16,RP49,Myd88,cells,0,no,30.47,yes
F01,plate_2,1,37,RPL11,Dv1,cells,5,yes,25.77,yes
F02,plate_2,2,37,RPL11,Dv1,cells,5,yes,25.70,yes
F03,plate_2,3,37,RPL11,Dv1,cells,5,yes,25.77,yes
F04,plate_2,1,39,RPL11,Dv1,cells,5,no,25.27,yes
