cell,day,infection_status,delta_Cq,Delta_Cq_2
Dv1,0,yes,-6.423333,0.011651561
Myd88,0,yes,-7.403333,0.005907105
Dv1,5,yes,-5.076667,0.029632682
Myd88,5,yes,-7.605,0.005136495
Dv1,5,no,-11.523333,0.000339728
Myd88,5,no,-15.52,2.12821E-05
Dv1,5,yes,-5.05,0.03018551
Dv1,0,no,NA,NA
Myd88,5,yes,-7.593333,0.005178202
Dv1,5,no,-11.996667,0.000244705
Myd88,5,no,-13.07,0.000116289
Dv1,5,yes,-4.486667,0.044604498
Myd88,5,yes,-6.736667,0.009376941
Myd88,5,no,NA,NA
Myd88,0,no,-16.87,8.3488E-06
