replicate,sample_type,cell_type,infected,day5_delta_Cq,day0_delta_Cq,delta_delta,2_to_the_delta_delta
1,cell,Dv1,yes,-2.98,-4.52,1.54,2.907945035
2,cell,Dv1,yes,-3.40666,-4.52,1.11334,2.163459329
3,cell,Dv1,yes,-3.74667,-4.52,0.77333,1.709210399
1,cell,Myd88,yes,-5.38333,-6.67666,1.29333,2.450931222
2,cell,Myd88,yes,NA,-6.67666,NA,NA
3,cell,Myd88,yes,NA,-6.67666,NA,NA
1,cell,Dv1,no,-8.35333,-7.99,-0.36333,0.777368201
2,cell,Dv1,no,-8.71333,-7.99,-0.72333,0.605697768
3,cell,Dv1,no,-9.185,-7.99,-1.195,0.436786448
1,cell,Myd88,no,NA,-6.73667,NA,NA
2,cell,Myd88,no,NA,-6.73667,NA,NA
3,cell,Myd88,no,NA,-6.73667,NA,NA
1,supernatant,Dv1,yes,-5.07667,-6.42333,1.34666,2.543226581
2,supernatant,Dv1,yes,-5.05,-6.42333,1.37333,2.590678518
3,supernatant,Dv1,yes,-4.48667,-6.42333,1.93666,3.828183538
1,supernatant,Myd88,yes,-7.605,-7.40333,-0.20167,0.869543435
2,supernatant,Myd88,yes,-7.59334,-7.40333,-0.19001,0.876599645
3,supernatant,Myd88,yes,-6.73667,-7.40333,0.66666,1.587393717
1,supernatant,Dv1,no,-11.52333,NA,NA,NA
2,supernatant,Dv1,no,-11.99667,NA,NA,NA
1,supernatant,Myd88,no,-15.57667,-16.87333,1.29666,2.456594947
2,supernatant,Myd88,no,-13.07333,-16.87333,3.8,13.92880901
3,supernatant,Myd88,no,NA,-16.87333,NA,NA
