well,qPCR_plate,qPCR_replicate,sample_ID,primer,day_frozen,treatment,sex,p47_35_cycle_result,p47_30_cycle_result,band_strength_35_cycles,band_strength_30_cycles,115_1ng_30_PCR_result,115_30_cycle_PCR_result,115_1ng_30_PCR_band,115_30_cycle_PCR_band,Cq
A01,plate_1,1,1,TPI,day0,SP,male,yes,no,mid-strong,none,no,no,none,none,23.41
A02,plate_1,2,1,TPI,day0,SP,male,yes,no,mid-strong,none,no,no,none,none,23.00
A03,plate_1,3,1,TPI,day0,SP,male,yes,no,mid-strong,none,no,no,none,none,22.97
A04,plate_1,1,9,TPI,day0,SP,female,no,no,none,none,no,no,none,none,23.92
A05,plate_1,2,9,TPI,day0,SP,female,no,no,none,none,no,no,none,none,24.04
A06,plate_1,3,9,TPI,day0,SP,female,no,no,none,none,no,no,none,none,24.21
A07,plate_1,1,10,TPI,day0,SP,female,yes,yes,strong,weak,no,yes,none,mid-weak,22.84
A08,plate_1,2,10,TPI,day0,SP,female,yes,yes,strong,weak,no,yes,none,mid-weak,22.87
A09,plate_1,3,10,TPI,day0,SP,female,yes,yes,strong,weak,no,yes,none,mid-weak,22.80
A10,plate_1,1,23,TPI,day0,16Cq DiNV,female,yes,no,weak,none,no,no,none,none,23.01
A11,plate_1,2,23,TPI,day0,16Cq DiNV,female,yes,no,weak,none,no,no,none,none,23.05
A12,plate_1,3,23,TPI,day0,16Cq DiNV,female,yes,no,weak,none,no,no,none,none,23.19
B01,plate_1,1,30,TPI,day0,16Cq DiNV,female,yes,yes,strong,mid-weak,no,yes,none,mid-weak,23.11
B02,plate_1,2,30,TPI,day0,16Cq DiNV,female,yes,yes,strong,mid-weak,no,yes,none,mid-weak,22.70
B03,plate_1,3,30,TPI,day0,16Cq DiNV,female,yes,yes,strong,mid-weak,no,yes,none,mid-weak,22.87
B04,plate_1,1,16,TPI,day0,16Cq DiNV,male,no,no,none,none,no,no,none,none,23.18
B05,plate_1,2,16,TPI,day0,16Cq DiNV,male,no,no,none,none,no,no,none,none,23.25
B06,plate_1,3,16,TPI,day0,16Cq DiNV,male,no,no,none,none,no,no,none,none,23.12
B07,plate_1,1,37,TPI,day3,SP,female,yes,no,weak,none,no,no,none,none,23.94
