sample_ID,day_frozen,treatment,delta_Cq,two_to_the_delta_Cq,p115_1ng_30_PCR_result,p115_30_cycle_PCR_result,p115_1ng_30_cycle_band,p115_30_cycle_band,p47_35_cycle_result,p47_30_cycle_result,p47_band_35_cycles,p47_band_30_cycles
1,day0,SP,-6.24,0.013230396,no,no,none,none,yes,no,mid-strong,none
9,day0,SP,-3.87,0.068393356,no,no,none,none,no,no,none,none
10,day0,SP,-4.276667,0.051593495,no,yes,none,mid-weak,yes,yes,strong,weak
16,day0,DiNV,-5.476667,0.022457373,no,no,none,none,no,no,none,none
23,day0,DiNV,-8.153333,0.003512386,no,no,none,none,yes,no,weak,none
30,day0,DiNV,6.633333,0.010073208,no,yes,none,mid-weak,yes,yes,strong,mid-weak
32,day3,SP,-6.183333,0.013760407,no,maybe,none,weak,yes,yes,mid-strong,weak
37,day3,SP,-5.78,0.018198962,no,no,none,none,yes,no,weak,none
38,day3,SP,-6.626667,0.010119859,no,yes,none,mid-strong,yes,yes,strong,mid-weak
42,day3,DiNV,3.403333,10.58047872,yes,yes,strong,strong,yes,yes,strong,strong
48,day3,DiNV,-5.553333,0.021295125,no,yes,none,mid-strong,yes,yes,mid-strong,mid-weak
64,day3,DiNV,-6.246667,0.013169396,no,no,none,none,yes,no,mid-weak,none
84,day5,SP,-6.253333,0.013108687,no,yes,none,mid-weak,yes,yes,strong,mid-weak
87,day5,SP,-5.58,0.020905118,no,no,none,none,maybe,no,weak,none
89,day5,SP,-4.87,0.034196678,no,yes,none,strong,yes,yes,strong,mid-strong
94,day5,DiNV,-7.496667,0.005537049,no,maybe,none,weak,yes,no,mid-strong,none
98,day5,DiNV,-2.956667,0.128811473,yes,yes,mid-weak,strong,yes,yes,strong,mid-strong
117,day5,DiNV,-7.663333,0.004932952,no,no,none,none,maybe,no,weak,none
142,day10,SP,-6.743333,0.009333714,no,maybe,none,weak,yes,maybe,mid-strong,none
143,day10,SP,-6.303333,0.012662157,no,yes,none,mid-strong,yes,yes,strong,mid-weak
147,day10,SP,-7.363333,0.006073176,no,no,none,none,yes,no,mid-weak,none
150,day10,DiNV,10.843333,1837.250973,yes,yes,strong,strong,yes,yes,strong,strong
158,day10,DiNV,-5.116667,0.028822374,no,yes,none,strong,yes,yes,strong,mid-strong
173,day10,DiNV,-7.396667,0.005934462,no,yes,none,mid-weak,yes,yes,mid-strong,weak
