Well,qPCR_replicate,sample_ID,primer,sample_type,sample_specific,extraction_sample,volume,unique_name,sex,day_dead,Cq
A01,1,A puregene,TPI,extraction,puregene,puregene,50ul,A puregene TPI,NA,NA,22.78
A02,2,A puregene,TPI,extraction,puregene,puregene,50ul,A puregene TPI,NA,NA,22.88
A03,3,A puregene,TPI,extraction,puregene,puregene,50ul,A puregene TPI,NA,NA,22.68
A04,1,B puregene,TPI,extraction,puregene,puregene,50ul,B puregene TPI,NA,NA,23.11
A05,2,B puregene,TPI,extraction,puregene,puregene,50ul,B puregene TPI,NA,NA,23.19
A06,3,B puregene,TPI,extraction,puregene,puregene,50ul,B puregene TPI,NA,NA,23.17
A07,1,10 hirt,TPI,extraction,hirt,pellet,1mL,10 hirt TPI,NA,NA,23.64
A08,2,10 hirt,TPI,extraction,hirt,pellet,1mL,10 hirt TPI,NA,NA,23.84
A09,3,10 hirt,TPI,extraction,hirt,pellet,1mL,10 hirt TPI,NA,NA,23.58
A10,1,11 hirt,TPI,extraction,hirt,pellet,1mL,11 hirt TPI,NA,NA,23.7
A11,2,11 hirt,TPI,extraction,hirt,pellet,1mL,11 hirt TPI,NA,NA,23.68
A12,3,11 hirt,TPI,extraction,hirt,pellet,1mL,11 hirt TPI,NA,NA,23.8
B01,1,12 hirt,TPI,extraction,hirt,pellet,500ul,12 hirt TPI,NA,NA,23.17
B02,2,12 hirt,TPI,extraction,hirt,pellet,500ul,12 hirt TPI,NA,NA,23.01
B03,3,12 hirt,TPI,extraction,hirt,pellet,500ul,12 hirt TPI,NA,NA,23.07
B04,1,13 hirt,TPI,extraction,hirt,pellet,500ul,13 hirt TPI,NA,NA,23.04
B05,2,13 hirt,TPI,extraction,hirt,pellet,500ul,13 hirt TPI,NA,NA,23.01
B06,3,13 hirt,TPI,extraction,hirt,pellet,500ul,13 hirt TPI,NA,NA,23.22
B07,1,14A hirt,TPI,extraction,hirt,concentrated supernatant,50ul,14A hirt TPI,NA,NA,26.29
B08,2,14A hirt,TPI,extraction,hirt,concentrated supernatant,50ul,14A hirt TPI,NA,NA,26.21
B09,3,14A hirt,TPI,extraction,hirt,concentrated supernatant,50ul,14A hirt TPI,NA,NA,26.43
B10,1,15A hirt,TPI,extraction,hirt,concentrated supernatant,50ul,15A hirt TPI,NA,NA,24.3
B11,2,15A hirt,TPI,extraction,hirt,concentrated supernatant,50ul,15A hirt TPI,NA,NA,24.48
B12,3,15A hirt,TPI,extraction,hirt,concentrated supernatant,50ul,15A hirt TPI,NA,NA,24.58
C01,1,14 fly,TPI,fly,day0,fly,fly,14 fly TPI,female,day0,23.32
C02,2,14 fly,TPI,fly,day0,fly,fly,14 fly TPI,female,day0,23.38
C03,3,14 fly,TPI,fly,day0,fly,fly,14 fly TPI,female,day0,23.31
C04,1,15 fly,TPI,fly,day0,fly,fly,15 fly TPI,female,day0,23.34
C05,2,15 fly,TPI,fly,day0,fly,fly,15 fly TPI,female,day0,23.55
C06,3,15 fly,TPI,fly,day0,fly,fly,15 fly TPI,female,day0,23.32
C07,1,17 fly,TPI,fly,day0,fly,fly,17 fly TPI,male,day0,23.76
C08,2,17 fly,TPI,fly,day0,fly,fly,17 fly TPI,male,day0,23.72
C09,3,17 fly,TPI,fly,day0,fly,fly,17 fly TPI,male,day0,23.6
C10,1,46 fly,TPI,fly,dead,fly,fly,46 fly TPI,female,day9,25.5
C11,2,46 fly,TPI,fly,dead,fly,fly,46 fly TPI,female,day9,25.66
C12,3,46 fly,TPI,fly,dead,fly,fly,46 fly TPI,female,day9,25.8
D01,1,47 fly,TPI,fly,dead,fly,fly,47 fly TPI,male,day9,23.82
D02,2,47 fly,TPI,fly,dead,fly,fly,47 fly TPI,male,day9,23.74
D03,3,47 fly,TPI,fly,dead,fly,fly,47 fly TPI,male,day9,24.01
D04,1,62 fly,TPI,fly,dead,fly,fly,62 fly TPI,male,day10,24.17
D05,2,62 fly,TPI,fly,dead,fly,fly,62 fly TPI,male,day10,24.31
D06,3,62 fly,TPI,fly,dead,fly,fly,62 fly TPI,male,day10,24.19
D07,1,65 fly,TPI,fly,dead,fly,fly,65 fly TPI,female,day12,26.22
D08,2,65 fly,TPI,fly,dead,fly,fly,65 fly TPI,female,day12,26.09
D09,3,65 fly,TPI,fly,dead,fly,fly,65 fly TPI,female,day12,25.86
D10,1,water,TPI,water,water,water,water,water TPI,NA,NA,39.74
D11,2,water,TPI,water,water,water,water,water TPI,NA,NA,35.26
D12,3,water,TPI,water,water,water,water,water TPI,NA,NA,37.02
E01,1,A puregene,PIF3,extraction,puregene,puregene,50ul,A puregene PIF3,NA,NA,15.58
E02,2,A puregene,PIF3,extraction,puregene,puregene,50ul,A puregene PIF3,NA,NA,15.51
E03,3,A puregene,PIF3,extraction,puregene,puregene,50ul,A puregene PIF3,NA,NA,15.65
E04,1,B puregene,PIF3,extraction,puregene,puregene,50ul,B puregene PIF3,NA,NA,15.44
E05,2,B puregene,PIF3,extraction,puregene,puregene,50ul,B puregene PIF3,NA,NA,15.52
E06,3,B puregene,PIF3,extraction,puregene,puregene,50ul,B puregene PIF3,NA,NA,15.55
E07,1,10 hirt,PIF3,extraction,hirt,pellet,1mL,10 hirt PIF3,NA,NA,16.7
E08,2,10 hirt,PIF3,extraction,hirt,pellet,1mL,10 hirt PIF3,NA,NA,16.62
E09,3,10 hirt,PIF3,extraction,hirt,pellet,1mL,10 hirt PIF3,NA,NA,16.81
E10,1,11 hirt,PIF3,extraction,hirt,pellet,1mL,11 hirt PIF3,NA,NA,16.66
E11,2,11 hirt,PIF3,extraction,hirt,pellet,1mL,11 hirt PIF3,NA,NA,17.02
E12,3,11 hirt,PIF3,extraction,hirt,pellet,1mL,11 hirt PIF3,NA,NA,16.99
F01,1,12 hirt,PIF3,extraction,hirt,pellet,500ul,12 hirt PIF3,NA,NA,16.6
F02,2,12 hirt,PIF3,extraction,hirt,pellet,500ul,12 hirt PIF3,NA,NA,16.56
F03,3,12 hirt,PIF3,extraction,hirt,pellet,500ul,12 hirt PIF3,NA,NA,16.78
F04,1,13 hirt,PIF3,extraction,hirt,pellet,500ul,13 hirt PIF3,NA,NA,16.03
F05,2,13 hirt,PIF3,extraction,hirt,pellet,500ul,13 hirt PIF3,NA,NA,16.12
F06,3,13 hirt,PIF3,extraction,hirt,pellet,500ul,13 hirt PIF3,NA,NA,16.07
F07,1,14A hirt,PIF3,extraction,hirt,concentrated supernatant,50ul,14A hirt PIF3,NA,NA,19.17
F08,2,14A hirt,PIF3,extraction,hirt,concentrated supernatant,50ul,14A hirt PIF3,NA,NA,19.08
F09,3,14A hirt,PIF3,extraction,hirt,concentrated supernatant,50ul,14A hirt PIF3,NA,NA,19.05
F10,1,15A hirt,PIF3,extraction,hirt,concentrated supernatant,50ul,15A hirt PIF3,NA,NA,16.71
F11,2,15A hirt,PIF3,extraction,hirt,concentrated supernatant,50ul,15A hirt PIF3,NA,NA,16.82
F12,3,15A hirt,PIF3,extraction,hirt,concentrated supernatant,50ul,15A hirt PIF3,NA,NA,17.11
G01,1,14 fly,PIF3,fly,day0,fly,fly,14 fly PIF3,female,day0,31.29
G02,2,14 fly,PIF3,fly,day0,fly,fly,14 fly PIF3,female,day0,31.39
G03,3,14 fly,PIF3,fly,day0,fly,fly,14 fly PIF3,female,day0,32.02
G04,1,15 fly,PIF3,fly,day0,fly,fly,15 fly PIF3,female,day0,31.01
G05,2,15 fly,PIF3,fly,day0,fly,fly,15 fly PIF3,female,day0,31.75
G06,3,15 fly,PIF3,fly,day0,fly,fly,15 fly PIF3,female,day0,31.75
G07,1,17 fly,PIF3,fly,day0,fly,fly,17 fly PIF3,male,day0,30.81
G08,2,17 fly,PIF3,fly,day0,fly,fly,17 fly PIF3,male,day0,31.41
G09,3,17 fly,PIF3,fly,day0,fly,fly,17 fly PIF3,male,day0,30.76
G10,1,46 fly,PIF3,fly,dead,fly,fly,46 fly PIF3,female,day9,16.5
G11,2,46 fly,PIF3,fly,dead,fly,fly,46 fly PIF3,female,day9,16.54
G12,3,46 fly,PIF3,fly,dead,fly,fly,46 fly PIF3,female,day9,16.74
H01,1,water,PIF3,water,water,water,water,water PIF3,NA,NA,40
H02,2,water,PIF3,water,water,water,water,water PIF3,NA,NA,40
H03,3,water,PIF3,water,water,water,water,water PIF3,NA,NA,40
H04,1,47 fly,PIF3,fly,dead,fly,fly,47 fly PIF3,male,day9,14.85
H05,2,47 fly,PIF3,fly,dead,fly,fly,47 fly PIF3,male,day9,15.01
H06,3,47 fly,PIF3,fly,dead,fly,fly,47 fly PIF3,male,day9,14.92
H07,1,62 fly,PIF3,fly,dead,fly,fly,62 fly PIF3,male,day10,15.63
H08,2,62 fly,PIF3,fly,dead,fly,fly,62 fly PIF3,male,day10,15.64
H09,3,62 fly,PIF3,fly,dead,fly,fly,62 fly PIF3,male,day10,15.6
H10,1,65 fly,PIF3,fly,dead,fly,fly,65 fly PIF3,female,day12,15.89
H11,2,65 fly,PIF3,fly,dead,fly,fly,65 fly PIF3,female,day12,15.87
H12,3,65 fly,PIF3,fly,dead,fly,fly,65 fly PIF3,female,day12,16.09
