well,sample,replicate,primer,type,unique_name,Cq
A01,pool 1,1,TPI,hirt extract only,pool 1 TPI,19.17
A02,pool 1,2,TPI,hirt extract only,pool 1 TPI,20.17
A03,pool 1,3,TPI,hirt extract only,pool 1 TPI,20.06
A04,pool 2,1,TPI,hirt extract only,pool 2 TPI,20.29
A05,pool 2,2,TPI,hirt extract only,pool 2 TPI,20.22
A06,pool 2,3,TPI,hirt extract only,pool 2 TPI,20.28
A07,pool 3,1,TPI,hirt extract only,pool 3 TPI,20.76
A08,pool 3,2,TPI,hirt extract only,pool 3 TPI,21.02
A09,pool 3,3,TPI,hirt extract only,pool 3 TPI,20.71
A10,pool 4,1,TPI,hirt extract only,pool 4 TPI,20.63
A11,pool 4,2,TPI,hirt extract only,pool 4 TPI,20.76
A12,pool 4,3,TPI,hirt extract only,pool 4 TPI,20.87
B01,20-exo,1,TPI,exonuclease treated,20-exo TPI,24.68
B02,20-exo,2,TPI,exonuclease treated,20-exo TPI,24.67
B03,20-exo,3,TPI,exonuclease treated,20-exo TPI,24.73
B04,22-exo,1,TPI,exonuclease treated,22-exo TPI,24.80
B05,22-exo,2,TPI,exonuclease treated,22-exo TPI,24.78
B06,22-exo,3,TPI,exonuclease treated,22-exo TPI,24.94
B07,26-exo,1,TPI,exonuclease treated,26-exo TPI,24.29
B08,26-exo,2,TPI,exonuclease treated,26-exo TPI,24.35
B09,26-exo,3,TPI,exonuclease treated,26-exo TPI,24.27
B10,30-exo,1,TPI,exonuclease treated,30-exo TPI,24.11
B11,30-exo,2,TPI,exonuclease treated,30-exo TPI,24.28
B12,30-exo,3,TPI,exonuclease treated,30-exo TPI,24.30
C01,pool 1,1,PIF 3,hirt extract only,pool 1 PIF 3,11.13
C02,pool 1,2,PIF 3,hirt extract only,pool 1 PIF 3,11.03
C03,pool 1,3,PIF 3,hirt extract only,pool 1 PIF 3,11.12
C04,pool 2,1,PIF 3,hirt extract only,pool 2 PIF 3,11.31
C05,pool 2,2,PIF 3,hirt extract only,pool 2 PIF 3,11.48
C06,pool 2,3,PIF 3,hirt extract only,pool 2 PIF 3,11.35
C07,pool 3,1,PIF 3,hirt extract only,pool 3 PIF 3,11.56
C08,pool 3,2,PIF 3,hirt extract only,pool 3 PIF 3,11.70
C09,pool 3,3,PIF 3,hirt extract only,pool 3 PIF 3,11.57
C10,pool 4,1,PIF 3,hirt extract only,pool 4 PIF 3,11.37
C11,pool 4,2,PIF 3,hirt extract only,pool 4 PIF 3,11.44
C12,pool 4,3,PIF 3,hirt extract only,pool 4 PIF 3,11.51
D01,20-exo,1,PIF 3,exonuclease treated,20-exo PIF 3,11.88
D02,20-exo,2,PIF 3,exonuclease treated,20-exo PIF 3,11.98
D03,20-exo,3,PIF 3,exonuclease treated,20-exo PIF 3,12.03
D04,22-exo,1,PIF 3,exonuclease treated,22-exo PIF 3,12.15
D05,22-exo,2,PIF 3,exonuclease treated,22-exo PIF 3,12.14
D06,22-exo,3,PIF 3,exonuclease treated,22-exo PIF 3,12.26
D07,26-exo,1,PIF 3,exonuclease treated,26-exo PIF 3,13.93
D08,26-exo,2,PIF 3,exonuclease treated,26-exo PIF 3,13.93
D09,26-exo,3,PIF 3,exonuclease treated,26-exo PIF 3,13.76
D10,30-exo,1,PIF 3,exonuclease treated,30-exo PIF 3,14.04
D11,30-exo,2,PIF 3,exonuclease treated,30-exo PIF 3,14.01
D12,30-exo,3,PIF 3,exonuclease treated,30-exo PIF 3,14.18
