well,sample,replicate,primer,type,unique_name,Cq
A01,16,1,TPI,hirt,16 cell TPI,21.46
A02,16,2,TPI,hirt,16 cell TPI,21.49
A03,16,3,TPI,hirt,16 cell TPI,21.33
A04,17,1,TPI,hirt,17 cell TPI,21.25
A05,17,2,TPI,hirt,17 cell TPI,21.45
A06,17,3,TPI,hirt,17 cell TPI,21.32
C01,16,1,PIF 3,hirt,16 cell PIF3,14.24
C02,16,2,PIF 3,hirt,16 cell PIF3,14.15
C03,16,3,PIF 3,hirt,16 cell PIF3,14.42
C04,17,1,PIF 3,hirt,17 cell PIF3,14.55
C05,17,2,PIF 3,hirt,17 cell PIF3,14.66
C06,17,3,PIF 3,hirt,17 cell PIF3,14.56
A01,A puregene,1,TPI,Puregene,A puregene TPI,22.78
A02,A puregene,2,TPI,Puregene,A puregene TPI,22.88
A03,A puregene,3,TPI,Puregene,A puregene TPI,22.68
A04,B puregene,1,TPI,Puregene,B puregene TPI,23.11
A05,B puregene,2,TPI,Puregene,B puregene TPI,23.19
A06,B puregene,3,TPI,Puregene,B puregene TPI,23.17
A07,10 hirt,1,TPI,hirt,10 hirt TPI,23.64
A08,10 hirt,2,TPI,hirt,10 hirt TPI,23.84
A09,10 hirt,3,TPI,hirt,10 hirt TPI,23.58
A10,11 hirt,1,TPI,hirt,11 hirt TPI,23.7
A11,11 hirt,2,TPI,hirt,11 hirt TPI,23.68
A12,11 hirt,3,TPI,hirt,11 hirt TPI,23.8
B01,12 hirt,1,TPI,hirt,12 hirt TPI,23.17
B02,12 hirt,2,TPI,hirt,12 hirt TPI,23.01
B03,12 hirt,3,TPI,hirt,12 hirt TPI,23.07
B04,13 hirt,1,TPI,hirt,13 hirt TPI,23.04
B05,13 hirt,2,TPI,hirt,13 hirt TPI,23.01
B06,13 hirt,3,TPI,hirt,13 hirt TPI,23.22
E01,A puregene,1,PIF 3,Puregene,A puregene PIF3,15.58
E02,A puregene,2,PIF 3,Puregene,A puregene PIF3,15.51
E03,A puregene,3,PIF 3,Puregene,A puregene PIF3,15.65
